Country,Year,Risk Points for Foreign Debt as a % of GDP,Risk Points for Exchange Rate Stability,Risk Points for Debt Service as a % of XGS,Risk Points for Current Account as % of XGS,Risk Points for International Liquidity,Aggregate Financial Risk
Brunei,1996,9.5,8,10,14.5,5,47
Brunei,1997,9.67,8.25,10,14.13,5,47.05
Brunei,1998,10,8.25,10,14.5,5,47.75
Brunei,1999,10,9.92,10,13.38,5,48.3
Brunei,2000,10,10,10,13.5,5,48.5
Brunei,2001,10,10,10,14.33,5,49.33
Brunei,2002,10,10,10,14.5,5,49.5
Brunei,2003,10,9.71,10,15,5,49.71
Brunei,2004,10,10,10,15,5,50
Brunei,2005,10,10,10,15,2.5,47.5
Brunei,2006,10,10,10,15,2.5,47.5
Brunei,2007,10,10,10,15,1.58,46.58
Brunei,2008,10,9.83,10,14.88,1.54,46.25
Brunei,2009,10,9.5,10,13.5,2,45
Brunei,2010,10,10,10,15,1.5,46.5
Brunei,2011,10,9.83,10,15,1.5,46.33
Brunei,2012,9.54,9.96,10,15,3.33,47.83
Brunei,2013,9.5,10,10,15,3.71,48.21
Bulgaria,1984,8,8,NA,NA,NA,16
Bulgaria,1985,7.88,7.92,3,13.96,NA,32.76
Bulgaria,1986,6.25,7,3,12.83,NA,29.08
Bulgaria,1987,6,6.25,5.04,11.17,NA,28.46
Bulgaria,1988,6.04,5.92,5.08,11,NA,28.04
Bulgaria,1989,5.5,5,4.67,11.21,NA,26.38
Bulgaria,1990,4.79,5,3.13,9.13,NA,22.05
Bulgaria,1991,3.88,5,0.83,9.42,NA,19.13
Bulgaria,1992,3.54,5.5,2.75,9.13,NA,20.92
Bulgaria,1993,4.21,6,5.33,10.58,NA,26.12
Bulgaria,1994,5.25,6,7.21,10.54,NA,29
Bulgaria,1995,5.5,6,8.75,11.29,NA,31.54
Bulgaria,1996,4.67,5.58,8,11.96,1.13,31.34
Bulgaria,1997,2.83,3.33,4.63,9,0,19.79
Bulgaria,1998,3.75,8.33,5.83,9.04,0.96,27.91
Bulgaria,1999,5.29,7.5,9.54,11.88,1.79,36
Bulgaria,2000,4,5.46,8.5,11.5,2.5,31.96
Bulgaria,2001,4,9.46,8.5,11.08,2.5,35.54
Bulgaria,2002,4,9.88,8.5,11,2.5,35.88
Bulgaria,2003,4.21,9.25,8.17,11.38,2.83,35.84
Bulgaria,2004,4.5,9.83,8.33,11.13,3.46,37.25
Bulgaria,2005,4.5,9.79,8.5,10.96,3.33,37.08
Bulgaria,2006,4.5,9.67,8.5,10.75,2.83,36.25
Bulgaria,2007,4.25,9.92,8.71,10.08,2.29,35.25
Bulgaria,2008,2.58,9.42,8,9.63,1.79,31.42
Bulgaria,2009,2.58,8.67,6.96,8.92,2.42,29.55
Bulgaria,2010,1.92,8.96,6.25,11,3.38,31.51
Bulgaria,2011,2.29,9.71,6.5,11.96,3.5,33.96
Bulgaria,2012,2.83,9.17,8.83,12.17,3.5,36.5
Bulgaria,2013,2.67,10,10,12.08,3.5,38.25
Burkina Faso,1984,NA,NA,NA,NA,NA,0
Burkina Faso,1985,4,3,8.5,8.88,2.25,26.63
Burkina Faso,1986,4,3,8.88,8,2.71,26.59
Burkina Faso,1987,4,3,8.08,9.08,3.5,27.66
Burkina Faso,1988,4,3,7.63,10,3.42,28.05
Burkina Faso,1989,3.83,3,7.88,10,3.13,27.84
Burkina Faso,1990,4.25,3.5,9,11.17,3.04,30.96
Burkina Faso,1991,4.88,4,9,10.42,2.79,31.09
Burkina Faso,1992,5.04,4,9.04,10,2.38,30.46
Burkina Faso,1993,5.67,4,9,10.17,2.63,31.47
Burkina Faso,1994,6,4.67,9,10.21,2.13,32.01
Burkina Faso,1995,6,5,8.92,9.42,1.54,30.88
Burkina Faso,1996,6.21,5,8.5,8.5,2.58,30.79
Burkina Faso,1997,5.33,5.92,8.5,7.5,2.42,29.67
Burkina Faso,1998,3,9.58,8.5,2.5,2,25.58
Burkina Faso,1999,4.17,9.38,8.96,6.63,2.5,31.64
Burkina Faso,2000,4.83,7.79,9,7,1.67,30.29
Burkina Faso,2001,4.5,9.46,9,3.96,2,28.92
Burkina Faso,2002,4.5,9.88,9,0,2,25.38
Burkina Faso,2003,4.5,9.25,8.38,0,2,24.13
Burkina Faso,2004,4.5,9.79,7.5,0,1.83,23.62
Burkina Faso,2005,4.5,9.79,7.5,5,1.5,28.29
Burkina Faso,2006,4.5,9.67,7.5,10,2,33.67
Burkina Faso,2007,4.5,9.92,7.5,10,2,33.92
Burkina Faso,2008,5.5,9.42,7.5,10,3,35.42
Burkina Faso,2009,7,8.67,7,0.5,4,27.17
Burkina Faso,2010,7.33,8.92,6.67,1.17,4,28.09
Burkina Faso,2011,7.88,9.79,5.75,6.75,4,34.17
Burkina Faso,2012,7.79,9.13,7.38,8.92,3.17,36.39
Burkina Faso,2013,7.5,10,10,9.83,1.92,39.25
Cameroon,1984,5.55,6,8.38,9.67,0.71,30.31
Cameroon,1985,5.71,6,8,95.79,0,115.5
Cameroon,1986,5.88,6,7.46,10.63,0.04,30.01
Cameroon,1987,5.25,6,8.08,12,0.25,31.58
Cameroon,1988,5,6,7.5,9.5,0,28
Cameroon,1989,5,6,7.71,8.75,0,27.46
Cameroon,1990,5,6.33,7.33,9.08,0,27.74
Cameroon,1991,4.42,6,6.33,10.79,0,27.54
Cameroon,1992,3.88,6,7,10.83,0,27.71
Cameroon,1993,2.5,6,7,10.79,0,26.29
Cameroon,1994,2.63,6,8,8.17,0,24.8
Cameroon,1995,3,6,7.5,9.67,0,26.17
Cameroon,1996,4,6,8,10.38,0,28.38
Cameroon,1997,3.54,6.58,7.88,10.38,0,28.38
Cameroon,1998,2.92,9.58,6.83,11.5,0,30.83
Cameroon,1999,2.96,9.38,8.5,10.83,0,31.67
Cameroon,2000,3,7.88,7.5,10.5,0,28.88
Cameroon,2001,4,9.46,7.5,10.92,0,31.88
Cameroon,2002,3.92,9.88,7.5,11.13,0,32.43
Cameroon,2003,4.5,9.25,7.17,11.13,1.25,33.3
Cameroon,2004,5.88,9.79,7.04,11.04,1.04,34.79
Cameroon,2005,5.96,9.79,7.25,11.25,1.29,35.54
Cameroon,2006,6.04,9.67,8.04,11.17,1.5,36.42
Cameroon,2007,6.5,9.92,8.5,13.29,1.5,39.71
Cameroon,2008,7.75,9.42,8.63,13,1.67,40.47
Cameroon,2009,9,8.67,10,12.25,3.5,43.42
Cameroon,2010,8.92,8.92,10,11.46,3.5,42.8
Cameroon,2011,8.21,9.79,10,11,3.71,42.71
Cameroon,2012,8.88,9.13,10,10.79,3.63,42.43
Cameroon,2013,9.5,10,10,11,3.33,43.83
Canada,1984,8.18,9.25,8.5,12.5,1.08,39.51
Canada,1985,8,9,8.5,12.5,1,39
Canada,1986,8.29,9,8.5,11.92,1,38.71
Canada,1987,8.54,9,8.5,11.75,1.13,38.92
Canada,1988,9.04,9.08,8.5,11.54,1.5,39.66
Canada,1989,9.5,10,8.79,11.46,1.33,41.08
Canada,1990,9.5,10,8.71,11.25,1.38,40.84
Canada,1991,9.5,10,8.5,11.33,1.29,40.62
Canada,1992,9.5,10,8,10.71,1.17,39.38
Canada,1993,8.79,10,8.17,11,1,38.96
Canada,1994,8.5,10,8.5,11.33,1,39.33
Canada,1995,8.5,10,8.5,11.58,0.92,39.5
Canada,1996,8.5,10,8.5,11.75,0.83,39.58
Canada,1997,8.83,10,6.67,12.25,0.67,38.42
Canada,1998,9.5,9.42,6.54,11.92,0.96,38.34
Canada,1999,9.5,9.75,6.5,11.92,0.88,38.55
Canada,2000,9.5,9.96,6.5,12.04,1,39
Canada,2001,10,9.79,6.5,12.21,1,39.5
Canada,2002,10,10,6.5,12.5,1,40
Canada,2003,9,9.63,8.58,12.5,0.96,40.67
Canada,2004,8.75,9.88,10,13,1,42.63
Canada,2005,7.92,9.96,10,12.5,1,41.38
Canada,2006,7,9.96,10,12.75,1,40.71
Canada,2007,6.5,9.83,10,12.75,1,40.08
Canada,2008,8.5,8.92,10,12.5,1,40.92
Canada,2009,8.5,8.13,10,12.04,1,39.67
Canada,2010,7.58,9.71,10,11.54,1,39.83
Canada,2011,7.25,10,10,11.5,1,39.75
Canada,2012,7.13,9.96,10,11.21,1,39.3
Canada,2013,7.5,9.88,10,11.5,1,39.88
Chile,1984,4.39,4,5.29,10.21,0.25,24.14
Chile,1985,5.08,4,4.33,8.96,0,22.37
Chile,1986,5.08,4.17,3.21,9,0.29,21.75
Chile,1987,6.17,5.58,5,10.42,1.29,28.46
Chile,1988,7.08,7.83,6.88,11.42,1.46,34.67
Chile,1989,7.08,8,7.21,11.5,1.71,35.5
Chile,1990,7.67,8,7.17,11,1.13,34.97
Chile,1991,8.88,8,6.5,10.71,0.83,34.92
Chile,1992,8.96,8,7.5,11.67,3.5,39.63
Chile,1993,8.5,8,7.83,11,3.92,39.25
Chile,1994,8.13,8,8,10.58,4.08,38.79
Chile,1995,8,8,8.21,12.25,3.96,40.42
Chile,1996,8,8,8.08,12.04,4,40.12
Chile,1997,7.67,8.67,8.25,11.88,4,40.47
Chile,1998,7,8.88,7,10.83,4,37.71
Chile,1999,6.42,8.96,7,10.75,4,37.13
Chile,2000,5.67,9.58,7,11.42,4,37.67
Chile,2001,5.17,7.54,7,11.79,4,35.5
Chile,2002,5,9,7,12,4,37
Chile,2003,4.63,9.33,7,12,4.13,37.09
Chile,2004,4.88,9.46,7.38,12.38,4.13,38.23
Chile,2005,5.5,9.83,8,12.75,3.5,39.58
Chile,2006,6.42,9.83,8,12.5,3.5,40.25
Chile,2007,7,9.96,8,12.5,3.04,40.5
Chile,2008,7,8.75,8.5,12.25,2.5,39
Chile,2009,6.67,7.71,9.33,12,2.33,38.04
Chile,2010,6.04,9.83,7.83,12.58,3.42,39.7
Chile,2011,5.71,9.71,8.17,12.17,3.04,38.8
Chile,2012,6,9.92,9.25,11.5,3,39.67
Chile,2013,6,9.67,10,11.25,3,39.92
China,1984,6.36,7.43,NA,NA,NA,13.79
China,1985,6.58,8,NA,13.08,3.38,31.04
China,1986,6.5,6.92,NA,10.92,1.54,25.88
China,1987,6.13,5.42,NA,10.58,2.5,24.63
China,1988,6.42,5,NA,12.46,3,26.88
China,1989,5,5,NA,11.04,2.21,23.25
China,1990,4.29,5,NA,10.92,2.79,23
China,1991,4.42,5,NA,13,3.67,26.09
China,1992,6.42,5.83,NA,13.21,3.58,29.04
China,1993,7.5,6.67,NA,12.83,2.71,29.71
China,1994,7,6,NA,11.71,2,26.71
China,1995,7,6,NA,12.21,3.13,28.34
China,1996,6.79,5.5,9,12.5,2.83,36.62
China,1997,7.67,6.67,9,12.5,3,38.84
China,1998,9,10,9,12.67,3.5,44.17
China,1999,9,10,9,13,4.29,45.29
China,2000,9,10,9.08,12.67,3.67,44.42
China,2001,9,10,9.5,12.79,4,45.29
China,2002,9,10,9.5,12.5,4,45
China,2003,9,10,9.5,12.5,4.21,45.21
China,2004,9,10,9.08,12.5,4.08,44.66
China,2005,9,10,9.83,13.04,4.21,46.08
China,2006,9.13,10,10,13.71,4.5,47.34
China,2007,9,10,10,14.42,4.5,47.92
China,2008,9,9.92,10,14.5,4.5,47.92
China,2009,9.25,10,10,13.54,5,47.79
China,2010,9.5,10,10,13.5,5,48
China,2011,9.5,10,10,13.46,5,47.96
China,2012,9.5,10,10,13,5,47.5
China,2013,9.5,10,10,13,5,47.5
Colombia,1984,6.09,4.58,2.38,8.75,2.88,24.68
Colombia,1985,6,4,5.38,10.38,2,27.76
Colombia,1986,6.04,4.75,5.58,10.29,2.83,29.49
Colombia,1987,6.04,5.17,5.54,11.13,3.88,31.76
Colombia,1988,6,6,5.33,11.38,3.54,32.25
Colombia,1989,5,6,4.71,11.17,3.5,30.38
Colombia,1990,6.5,6.17,4.83,11.5,3.63,32.63
Colombia,1991,8.29,7.83,6.17,12.25,3.83,38.37
Colombia,1992,8.71,8,6.5,12.92,4.5,40.63
Colombia,1993,7.83,8,7,12.5,4.5,39.83
Colombia,1994,7.5,7.33,7.33,10.08,4.5,36.74
Colombia,1995,7.5,7,8,10,4.67,37.17
Colombia,1996,6.5,7,7.67,9.58,3.58,34.33
Colombia,1997,5.5,6.79,7.5,9,3.33,32.12
Colombia,1998,7,6.08,7.5,9.42,3.5,33.5
Colombia,1999,7,6.63,7.5,9.75,3.5,34.38
Colombia,2000,6.08,7.08,7.5,10.17,3.5,34.33
Colombia,2001,6,8.5,8,11.88,3.5,37.88
Colombia,2002,6,8.79,8,11.42,3.5,37.71
Colombia,2003,6,7.58,7.58,11.17,3.71,36.04
Colombia,2004,5.17,9.96,5.79,11,3.88,35.8
Colombia,2005,5.83,9.67,5.75,11.38,3.67,36.3
Colombia,2006,7.33,9.75,5.58,11.75,3.5,37.91
Colombia,2007,7.21,9.46,5.5,11.21,3.5,36.88
Colombia,2008,7.46,9.04,5.5,10.71,3.33,36.04
Colombia,2009,8.08,7.58,6.67,10.5,3.5,36.33
Colombia,2010,8.17,9.58,7.83,10.83,3.5,39.91
Colombia,2011,8,10,8.33,10.92,2.75,40
Colombia,2012,8,10,9.08,10.58,3.58,41.24
Colombia,2013,8,9.75,9.58,10.92,3.5,41.75
Congo,1984,NA,NA,NA,NA,NA,0
Congo,1985,4.28,3,6.5,8.67,0,22.45
Congo,1986,4,3,6.79,11.5,0,25.29
Congo,1987,3.92,3,8.38,8.83,0,24.13
Congo,1988,3.92,3.42,8,4.92,0,20.26
Congo,1989,4.29,4,7.08,8.13,0,23.5
Congo,1990,4.5,4,6.75,9.21,0,24.46
Congo,1991,3.88,4,8.83,11.04,0,27.75
Congo,1992,3.04,4,6.29,11.46,0,24.79
Congo,1993,3.5,4,6.5,10.83,0.08,24.91
Congo,1994,3.92,4.42,9,9.46,0,26.8
Congo,1995,4.5,5,9,7.25,0,25.75
Congo,1996,5.46,5,9,6,0,25.46
Congo,1997,4.33,5.92,8.96,8.29,0.42,27.92
Congo,1998,0,9.58,8.13,10.08,0,27.79
Congo,1999,0.46,9.17,4,11,0.04,24.67
Congo,2000,0.04,4.58,4.29,11,0.13,20.04
Congo,2001,0.5,9.5,8.29,10.83,0,29.12
Congo,2002,0.5,9.83,8,11.67,0,30
Congo,2003,0.5,9.25,8.21,10.67,0,28.63
Congo,2004,0.5,9.79,7.92,12.79,0,31
Congo,2005,0.88,9.79,9.13,12.88,0,32.68
Congo,2006,1.13,9.71,9.5,12.75,1.5,34.59
Congo,2007,2.63,9.83,9.5,13.5,1.5,36.96
Congo,2008,3.5,9.38,9.5,13.83,1.33,37.54
Congo,2009,5,8.67,9.5,14.5,2.33,40
Congo,2010,7.04,8.92,9.75,13.5,5,44.21
Congo,2011,8.75,9.79,10,12.75,5,46.29
Congo,2012,7.25,9.13,10,13.04,4.83,44.25
Congo,2013,6.88,10,10,12.5,4.5,43.88
"Congo, DR",1984,2.32,4,3.21,6.46,0,15.99
"Congo, DR",1985,3,4,5.88,7.75,0,20.63
"Congo, DR",1986,2.75,4,6,10.83,0,23.58
"Congo, DR",1987,3.54,4,7.38,12.29,0,27.21
"Congo, DR",1988,3.71,3.58,8.38,10.25,0.17,26.09
"Congo, DR",1989,2.79,3.67,8.79,9.79,0,25.04
"Congo, DR",1990,2.96,4,8.5,10.08,0,25.54
"Congo, DR",1991,2.88,4,6.67,8,0,21.55
"Congo, DR",1992,1.5,4,6.96,7.58,0,20.04
"Congo, DR",1993,1.5,4.08,8,6.42,0,20
"Congo, DR",1994,1.5,4,8.92,4.67,0,19.09
"Congo, DR",1995,1.5,4,9.92,8.33,0,23.75
"Congo, DR",1996,1.5,4,10,10.13,0,25.63
"Congo, DR",1997,1,3.29,10,8.5,0,22.79
"Congo, DR",1998,0,9.17,9.5,7,0,25.67
"Congo, DR",1999,0.46,5.13,9.96,10.67,0.21,26.43
"Congo, DR",2000,0,4.58,10,15,0.5,30.08
"Congo, DR",2001,0,8.25,9.5,14.08,0.5,32.33
"Congo, DR",2002,0,8.92,9.5,8.17,0.5,27.09
"Congo, DR",2003,0,7.38,9.5,7.08,0.04,24
"Congo, DR",2004,0,9.5,9.75,9.21,0,28.46
"Congo, DR",2005,0,6.5,9.5,10.08,0,26.08
"Congo, DR",2006,0,8.63,9.04,10.04,0,27.71
"Congo, DR",2007,1.13,7.54,9.5,10.17,0,28.34
"Congo, DR",2008,4.21,9.33,9.21,10.29,0,33.04
"Congo, DR",2009,2.08,4.08,9,9.25,0,24.41
"Congo, DR",2010,2.63,8.54,9.58,10.21,0.67,31.63
"Congo, DR",2011,4.21,10,10,10.5,0,34.71
"Congo, DR",2012,5,10,10,11.92,0,36.92
"Congo, DR",2013,6,10,10,10,0,36
Costa Rica,1984,3.39,4,6.25,10.38,0,24.02
Costa Rica,1985,4,4,5.96,9.96,0,23.92
Costa Rica,1986,4.13,4,6.04,10,0,24.17
Costa Rica,1987,3.88,4,4.08,10.5,0.92,23.38
Costa Rica,1988,4,4,6.5,11,1.29,26.79
Costa Rica,1989,4,4,9,10.67,2.25,29.92
Costa Rica,1990,5.08,4.67,8.42,10.83,1.79,30.79
Costa Rica,1991,6.79,6.42,7.5,10.75,1.5,32.96
Costa Rica,1992,7.83,7.83,7.5,10.67,2.58,36.41
Costa Rica,1993,6.5,8,7.5,10.92,1.92,34.84
Costa Rica,1994,6.5,8,8.38,10.75,1.88,35.51
Costa Rica,1995,6.5,8,8.5,11.21,1.5,35.71
Costa Rica,1996,6.5,8,8.5,10.92,1.96,35.88
Costa Rica,1997,6.33,8.17,8.5,11.25,2,36.25
Costa Rica,1998,5.92,8.96,8.5,11.58,2.71,37.67
Costa Rica,1999,6.38,8.71,8.5,12,2.04,37.63
Costa Rica,2000,6.42,9.13,8.5,11.5,2,37.55
Costa Rica,2001,6.17,9.5,8.5,11.21,2,37.38
Costa Rica,2002,6,9.08,8.5,11.46,2,37.04
Costa Rica,2003,6.17,8.79,8.67,11.38,1.25,36.26
Costa Rica,2004,6.54,9,9,11.46,1.13,37.13
Costa Rica,2005,7,9,9.42,11.42,1.5,38.34
Costa Rica,2006,7,9.5,9.5,11.33,2,39.33
Costa Rica,2007,7.33,10,9.5,11.33,2,40.16
Costa Rica,2008,7.25,9.79,9.71,11.17,2,39.92
Costa Rica,2009,7,9.04,9.5,10.79,2,38.33
Costa Rica,2010,7.13,9.75,9.5,11.88,2,40.26
Costa Rica,2011,7.83,10,9.5,12.42,2,41.75
Costa Rica,2012,7.58,10,9.92,11,2.42,40.92
Costa Rica,2013,7.33,10,10,10.58,2.5,40.41
Cote d'Ivoire,1984,4.93,5.79,4.75,8.46,0,23.93
Cote d'Ivoire,1985,6.46,6.25,7.67,9.92,0,30.3
Cote d'Ivoire,1986,7.21,6,6.92,12.13,0,32.26
Cote d'Ivoire,1987,6.67,6,7.25,12.25,0,32.17
Cote d'Ivoire,1988,6.17,6,8.5,10.42,0,31.09
Cote d'Ivoire,1989,5.96,5.33,8.54,6.29,0,26.12
Cote d'Ivoire,1990,5.17,5.17,6.42,8.96,0,25.72
Cote d'Ivoire,1991,5,6,2.17,8.58,0,21.75
Cote d'Ivoire,1992,5.42,6,3.67,8.96,0.75,24.8
Cote d'Ivoire,1993,4.5,6,4.33,7.71,0,22.54
Cote d'Ivoire,1994,4.5,6,5.29,10.21,0,26
Cote d'Ivoire,1995,4.58,5.83,5.96,11.42,0,27.79
Cote d'Ivoire,1996,5.42,5,6.5,12.17,0.17,29.26
Cote d'Ivoire,1997,3.83,5.92,6.38,12,0.5,28.63
Cote d'Ivoire,1998,0.96,9.5,6,11.08,0.92,28.46
Cote d'Ivoire,1999,0.54,9,7.38,11.92,0.58,29.42
Cote d'Ivoire,2000,0.71,7.79,5,11.42,0,24.92
Cote d'Ivoire,2001,1,9.5,5.5,11.17,0,27.17
Cote d'Ivoire,2002,1,9.88,5.5,11.38,0,27.76
Cote d'Ivoire,2003,1,9.25,6.13,12,2.63,31.01
Cote d'Ivoire,2004,1,9.79,8,12.25,3.5,34.54
Cote d'Ivoire,2005,1.75,9.79,8.5,12.75,3,35.79
Cote d'Ivoire,2006,2.58,9.71,8.5,12.54,1.5,34.83
Cote d'Ivoire,2007,2.79,9.92,8.5,13.25,1.5,35.96
Cote d'Ivoire,2008,3.67,9.42,8.5,12.67,1.5,35.76
Cote d'Ivoire,2009,4.25,8.71,9.5,12,2.5,36.96
Cote d'Ivoire,2010,5,8.92,9.5,12.25,2.13,37.8
Cote d'Ivoire,2011,5,9.79,9.17,12.21,2.29,38.46
Cote d'Ivoire,2012,4.79,9.13,9.08,12.21,2.58,37.79
Cote d'Ivoire,2013,5.88,10,9.29,11.54,2.54,39.25
Croatia,1984,NA,NA,NA,NA,NA,0
Croatia,1985,NA,NA,NA,NA,NA,0
Croatia,1986,NA,NA,NA,NA,NA,0
Croatia,1987,NA,NA,NA,NA,NA,0
Croatia,1988,NA,NA,NA,NA,NA,0
Croatia,1989,NA,NA,NA,NA,NA,0
Croatia,1990,NA,NA,NA,NA,NA,0
Croatia,1991,NA,NA,NA,NA,NA,0
Croatia,1992,NA,NA,NA,NA,NA,0
Croatia,1993,NA,NA,NA,NA,NA,0
Croatia,1994,NA,NA,NA,NA,NA,0
Croatia,1995,NA,NA,NA,NA,NA,0
Croatia,1996,NA,NA,NA,NA,NA,0
Croatia,1997,NA,NA,NA,NA,NA,0
Croatia,1998,NA,9.72,NA,NA,NA,9.72
Croatia,1999,7,8.58,9,10.08,1.83,36.49
Croatia,2000,6.63,7.67,9,10,2,35.3
Croatia,2001,5.38,9.71,9,10.17,2.38,36.64
Croatia,2002,5.21,9.92,9,10,2.5,36.63
Croatia,2003,5.5,9.38,9,10,2.5,36.38
Croatia,2004,5.5,9.71,9,10,2.5,36.71
Croatia,2005,5.5,9.88,9,10.5,3,37.88
Croatia,2006,5.5,9.79,9,10.5,3,37.79
Croatia,2007,3.67,9.83,7.63,11,2.08,34.21
Croatia,2008,3.5,9.38,7.5,11.5,2,33.88
Croatia,2009,3,8.42,8,11.25,2.75,33.42
Croatia,2010,2.5,8.88,7.25,11.21,3.5,33.34
Croatia,2011,2.5,9.92,5.5,11.5,3.5,32.92
Croatia,2012,2.17,8.92,4.17,11.5,3.5,30.26
Croatia,2013,1.92,10,4.13,11.79,3.5,31.34
Cuba,1984,NA,NA,NA,NA,NA,0
Cuba,1985,4.5,8,NA,NA,NA,12.5
Cuba,1986,3.25,6.5,NA,NA,NA,9.75
Cuba,1987,2.5,5.25,NA,NA,NA,7.75
Cuba,1988,2.5,5,NA,NA,NA,7.5
Cuba,1989,2.5,5,NA,NA,NA,7.5
Cuba,1990,2.29,5,NA,NA,NA,7.29
Cuba,1991,2,3.33,NA,NA,NA,5.33
Cuba,1992,2.08,3,NA,NA,NA,5.08
Cuba,1993,2.71,3,NA,NA,NA,5.71
Cuba,1994,2.5,3.75,NA,NA,NA,6.25
Cuba,1995,2.5,4.17,NA,NA,NA,6.67
Cuba,1996,3.54,5,5,9,0,22.54
Cuba,1997,4.33,3.88,5,10.25,0,23.46
Cuba,1998,5.17,8.42,5.17,11.17,0,29.93
Cuba,1999,5.5,9.83,5.5,10,0.5,31.33
Cuba,2000,5.5,10,5.5,10,0.5,31.5
Cuba,2001,5.5,10,5.5,10,0.83,31.83
Cuba,2002,5.5,10,5.5,9.38,1,31.38
Cuba,2003,5.5,10,5.5,8.17,0.17,29.34
Cuba,2004,5.54,10,7.58,10,0,33.12
Cuba,2005,6.42,10,8,11.21,0,35.63
Cuba,2006,6.5,10,8.5,11.08,0.83,36.91
Cuba,2007,6.83,10,8.33,11.46,2.5,39.12
Cuba,2008,5.54,10,8.5,11.58,2.29,37.91
Cuba,2009,3.5,10,8.5,11,2,35
Cuba,2010,6.13,10,8.5,12,1.63,38.26
Cuba,2011,7,10,8.08,12.29,1.5,38.87
Cuba,2012,7,10,8,12.29,2.42,39.71
Cuba,2013,7,10,8,11.67,2.5,39.17
Cyprus,1984,NA,NA,NA,NA,NA,0
Cyprus,1985,7,8,8.63,11.29,NA,34.92
Cyprus,1986,7,8,8.88,11.33,NA,35.21
Cyprus,1987,7.33,8,8.83,12.5,NA,36.66
Cyprus,1988,7.5,8,9,12.5,3.67,40.67
Cyprus,1989,7.5,8,9,12.46,3.42,40.38
Cyprus,1990,7.5,8,9.04,12,3.38,39.92
Cyprus,1991,7.5,8,9,11.5,3.08,39.08
Cyprus,1992,8.5,9,9,12,2.96,41.46
Cyprus,1993,8.5,9,9,11.58,2.5,40.58
Cyprus,1994,8.5,9,9,11.79,3.17,41.46
Cyprus,1995,8.5,9,9,12,3.04,41.54
Cyprus,1996,8.5,9,9,11.5,2.29,40.29
Cyprus,1997,8.67,8.79,9,12,2.08,40.54
Cyprus,1998,8.83,9.79,9.17,11.92,2.17,41.88
Cyprus,1999,9,9.42,10,11.83,2.54,42.79
Cyprus,2000,10,8,8.5,12.5,3,42
Cyprus,2001,10,9.42,8.5,12.21,3,43.13
Cyprus,2002,10,9.83,8.5,12,3,43.33
Cyprus,2003,10,9.33,8.5,12,3,42.83
Cyprus,2004,10,9.79,8.5,12,3,43.29
Cyprus,2005,7,9.83,8.5,12,4,41.33
Cyprus,2006,7,9.83,8.5,11.5,4,40.83
Cyprus,2007,6.79,10,8.5,11.29,4,40.58
Cyprus,2008,6.5,9.54,8.5,11,4,39.54
Cyprus,2009,6.5,8.67,8.5,11,4,38.67
Cyprus,2010,3.71,8.92,8.88,11,1.58,34.09
Cyprus,2011,1,9.79,9,11,0,30.79
Cyprus,2012,4.67,9.15,7.17,10.08,0.92,31.99
Cyprus,2013,4.17,10,6.17,10.83,0.17,31.34
Czech Republic,1984,NA,NA,NA,NA,NA,0
Czech Republic,1985,NA,NA,NA,NA,NA,0
Czech Republic,1986,NA,NA,NA,NA,NA,0
Czech Republic,1987,NA,NA,NA,NA,NA,0
Czech Republic,1988,NA,NA,NA,NA,NA,0
Czech Republic,1989,NA,NA,NA,NA,NA,0
Czech Republic,1990,NA,NA,NA,NA,NA,0
Czech Republic,1991,NA,NA,NA,NA,NA,0
Czech Republic,1992,NA,NA,NA,NA,NA,0
Czech Republic,1993,6.5,6,9,13,NA,34.5
Czech Republic,1994,7.08,6.92,9.25,12.29,NA,35.54
Czech Republic,1995,8,6.92,9.5,12.25,NA,36.67
Czech Republic,1996,8.13,7.58,9.5,11.08,2.25,38.54
Czech Republic,1997,7.83,7.33,9.04,11.08,2.54,37.82
Czech Republic,1998,6.21,8.67,9,11.58,2.38,37.84
Czech Republic,1999,6.17,8.71,9,11.92,2.63,38.43
Czech Republic,2000,5.75,8.54,9,12,2.67,37.96
Czech Republic,2001,5.5,9.83,9,11.79,2.83,38.95
Czech Republic,2002,5.5,9.33,9,11.25,3,38.08
Czech Republic,2003,6.5,9.38,9,11.5,3.38,39.76
Czech Republic,2004,6.54,9.67,9,11.5,3.13,39.84
Czech Republic,2005,6.25,9.67,9.5,11.54,2.5,39.46
Czech Republic,2006,6.38,9.88,9.5,12,2.13,39.89
Czech Republic,2007,6.5,9.83,9.5,12,1.75,39.58
Czech Republic,2008,6.17,8.75,9.5,12,1.5,37.92
Czech Republic,2009,5.79,7.46,9.5,12,1.5,36.25
Czech Republic,2010,5.75,9.08,9.5,12,1.92,38.25
Czech Republic,2011,5,9.58,9.5,12,2,38.08
Czech Republic,2012,5.29,8.67,9.5,12,2,37.46
Czech Republic,2013,5.08,9.96,9.54,12,2.04,38.62
Czechoslovakia,1984,6.71,8,NA,NA,NA,14.71
Czechoslovakia,1985,7.42,7.17,5.04,13,NA,32.63
Czechoslovakia,1986,7.63,7,5,12.83,NA,32.46
Czechoslovakia,1987,7.5,6.33,6.92,12.58,NA,33.33
Czechoslovakia,1988,7.5,6,6.25,11.33,NA,31.08
Czechoslovakia,1989,7.5,6,7.17,11.38,NA,32.05
